candidate_age,experience_years,campaign_spending,female_candidate,minority_candidate,incumbent_candidate,social_media_campaign,election_won
37,21,12,1,1,1,1,21.04004932206254
38,27,11,0,0,1,1,16.61318833420178
19,27,10,0,1,0,1,24.326767463590286
21,18,11,0,1,1,0,24.744132926449307
25,16,11,1,0,0,0,25.63748968266233
33,27,11,0,0,0,0,16.997952855178188
41,22,7,0,0,0,0,22.10046122864602
36,23,17,1,1,0,1,13.74570546956766
37,22,10,1,1,1,1,21.140939726348357
38,15,11,1,0,0,1,23.34402075765742
36,21,9,1,1,1,1,21.487043375240347
24,16,13,0,0,1,1,23.65951181343832
22,22,14,0,1,0,1,20.741866706121645
13,36,8,0,1,0,0,19.805251877367255
22,19,7,0,1,0,0,27.084654792117377
28,21,4,0,0,1,0,28.7448645136442
25,19,10,0,1,0,0,23.625582408684533
30,13,9,0,0,0,1,26.929664529018225
35,25,10,1,0,1,1,19.599367150546826
37,20,6,1,1,0,1,26.960012044666133
33,14,6,0,0,0,0,29.09055717916844
15,7,11,0,0,0,0,30.35773847776792
33,19,11,0,1,0,1,22.89247304606381
22,19,8,0,0,1,1,27.608667677854207
36,19,13,0,1,1,0,17.482029237989607
37,26,10,0,0,0,1,16.771790829835314
30,19,11,0,0,0,0,18.838258493989827
30,18,11,0,1,0,1,23.288089538343247
37,18,6,0,1,0,1,28.72336412885504
29,23,3,0,1,0,1,29.36245142025895
35,21,6,0,0,1,0,26.18384648928792
30,17,10,0,1,0,0,22.57859236502303
34,18,8,1,0,0,1,26.221584390670827
17,11,11,0,0,0,0,27.0563711468798
26,15,8,0,0,1,0,27.39774874818612
29,13,8,0,1,0,1,29.42555895577544
22,20,9,1,0,0,0,25.16606936810413
17,23,5,0,0,1,0,28.75683656478796
28,16,6,1,1,0,1,29.77351692317756
25,34,9,0,0,0,0,17.60555744509783
39,36,11,0,0,1,0,9.052001977301517
25,17,9,0,0,1,0,25.225873654081
32,1,15,0,1,0,1,25.114116962170424
38,11,6,1,1,0,1,30.352490539943023
32,22,7,0,0,1,1,24.94058452024348
32,20,13,0,0,0,0,18.53815316430316
39,14,10,0,0,0,0,21.37683803423586
28,29,8,0,0,1,0,20.20677571657444
32,13,11,0,0,0,0,24.509130588385013
29,25,10,0,0,0,0,20.724719352711237
23,16,7,0,0,1,0,28.92966184364347
25,22,3,0,1,0,0,29.93161961975327
26,15,15,1,0,0,0,20.229475315669983
42,18,2,0,1,0,1,31.28973715854893
27,14,7,0,0,0,1,31.344253009880067
24,25,13,0,0,0,1,18.654067782424825
28,6,8,0,0,0,1,33.00277273978993
26,14,9,0,1,1,0,26.26762195159332
28,10,7,0,0,0,0,30.50283943349092
26,23,11,0,0,0,1,19.68414887453091
36,14,7,1,0,0,0,27.01432678737825
33,28,12,0,0,0,1,16.776198511920743
15,17,14,0,1,0,1,23.802101877559718
42,23,6,0,1,0,1,23.274371259790943
38,19,12,0,1,0,1,19.482012656886518
40,21,13,0,0,0,1,17.821503702697733
31,17,8,0,0,0,1,26.37543355917574
27,16,7,1,0,1,0,28.31840283936903
30,16,15,0,1,0,1,20.026291221241312
19,20,7,1,0,0,0,28.84054058787454
25,27,8,1,0,1,0,21.94745166888877
50,17,12,1,1,0,1,18.662538116060663
13,24,5,0,1,0,1,29.88091472833121
31,18,8,0,0,0,0,22.80697131622134
36,2,11,0,0,0,1,30.13464397849452
28,24,11,0,0,1,1,21.634834777005423
31,15,12,0,0,0,0,21.759733845443
39,18,7,0,1,0,1,23.7936237831296
28,21,14,0,0,1,0,17.67502780922158
39,8,7,0,0,0,1,29.91338969418851
27,26,14,0,0,0,0,15.376757495691384
17,18,11,0,0,0,0,26.08627676035864
31,14,12,1,0,1,0,23.135471258402973
32,20,13,1,0,0,0,19.566084602659963
30,28,7,0,1,0,1,24.063970230917988
28,16,14,1,0,0,0,20.95476467887412
23,16,12,1,1,0,0,23.091489431884234
29,24,8,1,0,1,0,24.09080445235177
42,15,14,0,0,0,1,17.8967581733549
34,23,9,1,0,0,1,22.770122308097143
39,17,11,0,1,1,1,22.157916439468885
37,23,8,0,0,0,1,23.316375971262687
17,16,10,0,0,0,0,26.845565309453956
21,27,16,0,0,0,1,17.926149359067622
40,22,13,0,1,0,0,15.984895300087652
40,25,9,0,0,0,1,20.22779061888632
27,17,11,0,1,0,1,24.340841213421168
35,23,9,0,1,0,1,23.04908897053675
30,16,13,0,0,0,0,18.77574827995033
24,18,11,0,0,0,0,26.50575645987012
41,17,13,0,0,1,1,20.096320888511052
30,17,7,1,0,0,0,27.447312610828323
50,1,8,0,0,0,1,29.69424616508782
26,22,6,0,1,0,1,28.288257104096257
41,32,10,1,0,0,0,15.049987065402986
41,18,8,0,1,0,1,23.08748232017589
33,26,9,0,1,0,1,22.194513777838797
26,13,8,1,1,0,1,29.969624936094696
15,16,12,0,0,0,0,23.65568313790491
-1,22,8,0,1,1,0,30.642956205522903
31,23,7,0,0,0,0,22.901598973768152
28,27,13,0,0,0,1,18.50426092711648
36,18,9,1,0,0,1,23.56838127086719
28,24,11,1,0,1,0,19.830970321082265
23,17,8,1,1,0,0,27.88244092601525
29,16,8,0,0,1,0,25.532482691321743
39,17,10,0,0,0,1,22.86853440846781
36,16,9,0,0,1,1,24.193198529582457
23,21,10,1,0,0,0,23.05328432047377
22,25,12,0,0,1,0,18.43120654333879
27,17,9,0,0,0,0,24.76278006631569
36,18,9,0,0,0,1,23.859366430429564
35,30,12,0,1,0,1,15.682019867172665
35,15,11,0,0,1,1,23.857040107868368
42,17,11,0,0,1,1,20.98958700344032
31,24,13,0,0,0,0,16.915323951859484
42,15,7,0,1,1,1,27.22016035190028
35,33,8,0,0,1,1,19.82663464232015
40,21,12,1,0,0,1,17.832316110003173
26,20,5,0,1,0,1,29.679551408640844
33,27,11,0,0,0,0,16.448863579872913
10,18,5,0,0,1,0,32.12840597834756
31,17,11,0,1,0,1,23.464144924035764
23,26,9,1,0,0,1,23.70102596711476
21,21,13,0,0,0,0,20.39539128242627
34,26,9,0,1,1,1,21.59337372844186
33,19,9,1,1,0,1,23.79622836437405
29,14,11,0,1,0,0,23.43947954678357
33,27,8,1,0,0,1,21.79891502359761
21,23,4,0,0,0,0,29.48302910091374
12,16,7,0,1,1,0,31.08526055339416
33,16,15,1,0,0,1,22.107914768871368
43,28,8,0,1,0,1,16.600075636765997
28,14,5,0,0,1,0,29.450468357476694
27,16,6,0,0,1,1,31.093626140422145
31,17,11,0,1,0,1,24.77262925829721
29,18,11,0,0,0,0,22.469145273203065
31,25,9,0,0,0,0,19.4207518224808
45,28,8,0,1,0,1,19.23161515201497
31,23,13,1,0,0,0,15.821021988008928
28,18,5,0,0,1,1,30.69739304234743
31,12,13,0,0,0,1,23.6131265343544
27,21,12,0,1,0,1,21.708503887096757
36,10,11,0,1,0,1,25.383111562346
39,12,8,0,1,1,1,28.09204164893777
20,20,8,0,1,1,1,29.969714205545877
34,24,7,0,0,0,1,23.12306421286898
25,15,8,0,0,1,0,27.597444416730724
39,23,11,1,0,0,1,18.23290625463041
23,20,9,0,1,0,1,25.632606689997715
28,14,7,1,0,1,0,28.838763096627503
31,15,16,0,0,0,1,20.4742365469746
28,14,14,0,1,1,1,23.289091878747943
22,11,11,0,0,1,0,27.719440929152693
38,18,11,0,0,1,1,22.026860051602256
39,14,7,1,0,0,1,28.52663868217353
35,36,11,0,0,1,0,13.428798413224134
30,18,6,1,0,0,1,27.9328547165479
19,20,8,0,0,0,0,26.47207534622421
33,8,14,0,1,0,1,24.372830031054654
31,22,12,1,0,0,1,19.459215728839204
37,24,11,0,1,1,0,17.5790628934552
30,9,6,0,0,0,0,28.626394526767537
26,16,8,1,0,0,0,28.46628950767669
32,21,10,0,0,0,0,20.25721207058672
25,29,7,1,0,1,0,21.36726459927598
18,14,7,0,0,0,1,31.717513906350625
9,23,10,0,0,1,0,26.03842898650198
26,13,9,0,0,1,0,27.11303275683881
41,23,10,0,0,1,1,18.74829224736152
31,12,9,1,0,1,0,25.10479086909181
32,14,9,0,0,0,1,27.39254228255351
36,18,8,1,0,0,1,24.406664039594943
38,23,18,0,0,1,1,12.289627007417565
21,28,14,1,1,0,0,16.217638306650898
41,28,12,0,0,1,1,16.517984380568457
25,21,10,1,0,0,0,23.1666717849476
17,22,10,0,1,0,0,25.15614911554591
20,24,14,0,0,0,0,17.364719865810752
37,30,7,0,0,1,1,19.844731226096865
30,23,8,1,0,0,0,23.32120745556295
23,23,11,0,0,1,1,21.188823629640066
28,31,9,1,0,1,0,18.900579846396425
38,17,13,1,0,0,1,21.0512825938426
13,22,12,0,1,0,0,23.522934271390948
34,18,6,1,0,0,1,27.594399519711065
15,10,12,0,0,0,0,28.79681691337092
46,18,7,0,0,0,1,23.836842218491263
37,18,11,0,0,0,1,21.728447787223796
28,20,8,0,0,0,0,23.948212117966744
33,27,7,0,0,1,0,22.559338957762325
20,23,7,1,0,0,0,28.25479632305025
17,18,10,1,0,1,0,27.74768869976507
9,10,11,0,0,0,0,31.568328054493968
25,19,14,0,1,0,1,20.36463328893008
32,25,7,0,1,1,1,24.457541371030292
26,18,11,0,0,0,0,21.4437724329625
33,13,11,0,0,0,1,25.53094096204184
35,11,10,0,1,0,0,26.4434245526816
16,20,4,0,0,0,0,30.88228083197073
35,24,9,0,0,1,1,23.129361826040203
27,15,15,1,0,1,1,19.55730445005125
32,19,8,0,0,1,1,27.48335984330078
22,18,8,0,1,0,1,30.4903492820405
14,13,3,0,0,0,0,37.56731140992537
27,23,5,1,0,1,0,26.28508829439792
25,19,6,0,0,0,0,27.092492269852094
29,16,8,1,1,0,1,26.94733408606351
31,17,15,1,0,0,1,18.914189729948024
30,20,14,0,0,0,1,20.65259807627733
27,21,12,0,0,0,0,20.380273951748396
33,16,3,0,1,0,1,29.64443206423308
22,5,10,1,0,0,0,29.57083985692395
29,19,6,0,0,0,0,27.107331793683272
33,18,10,0,0,0,1,23.263224323944023
37,20,17,0,0,0,1,16.110739023011682
36,15,9,1,1,0,1,25.881231315706348
36,20,13,0,0,1,0,18.68646441861588
31,7,6,0,0,0,1,33.024061854816296
28,15,7,0,0,0,0,28.182551113832428
25,6,13,0,0,1,0,26.994755523073287
32,23,6,1,0,0,0,25.607769069887425
22,10,11,0,0,0,0,27.966839974122305
27,15,6,0,0,0,0,28.66549574734277
24,19,8,0,1,0,0,26.523344975601532
37,26,8,0,0,0,1,21.1959083384238
44,28,12,0,0,1,1,15.2244523504369
23,17,3,0,0,0,0,32.232588139573224
36,13,4,1,0,0,1,33.925079187787496
24,12,10,0,1,1,1,29.13590874848668
27,24,8,1,0,0,0,20.448674504644565
36,23,4,0,0,0,1,29.112508369285443
17,18,12,0,1,0,1,25.10016765109025
37,13,8,0,1,0,0,24.34818367292234
26,19,13,0,1,1,1,21.61948005012321
28,11,4,0,0,0,0,34.76835759881448
36,11,18,0,0,0,1,18.161448002198693
17,26,9,0,0,0,1,26.32345341590739
43,20,12,1,0,0,0,16.640498355346867
39,25,13,1,1,0,1,16.262764411713814
30,29,11,1,1,0,0,16.940502205651207
29,19,12,1,0,1,0,22.023649344654903
29,7,9,1,0,0,0,29.632653226202912
30,21,3,0,0,0,0,29.458488071601685
21,20,10,1,0,0,0,25.119878363363757
31,18,11,0,1,1,1,24.781151985572773
14,19,12,0,1,0,0,24.31970416942252
30,16,8,1,1,0,0,27.928811138566772
42,16,2,1,1,0,1,30.94936103537444
23,23,12,0,0,1,0,21.35410056191093
27,24,8,0,1,1,0,20.87088386416282
30,19,7,1,0,1,1,28.21923147333356
36,23,10,0,0,0,1,21.61480384491076
17,12,6,0,1,0,0,31.439792651430825
40,16,11,0,1,1,1,24.29124278906542
36,25,13,0,0,0,1,16.94813378293685
20,18,13,1,0,0,0,23.18961121187608
36,7,9,0,0,0,1,29.54948126538948
22,30,8,0,1,0,1,22.6338499130457
29,20,10,0,0,0,0,21.631493723058338
38,26,7,1,0,1,1,21.81830589169355
33,23,11,0,0,0,1,21.26306725720889
51,25,11,1,1,1,1,16.141688675307066
25,20,11,1,0,0,0,22.1819387859882
25,16,12,1,1,1,0,24.441679302104887
14,13,8,0,0,0,0,32.00227520805309
22,15,8,1,0,0,0,29.671234834191267
42,16,9,1,0,0,1,23.680447404413567
19,13,15,0,1,1,1,23.74303885463216
48,17,9,0,0,0,0,19.430164925455458
26,24,11,1,0,0,1,23.12089904555808
45,32,9,0,1,0,1,17.062882184420182
32,31,8,0,1,0,1,20.652938939233454
9,12,16,0,0,0,0,22.90677800738087
46,12,10,0,0,0,1,23.167128808612947
35,25,14,0,0,0,1,15.534420532440071
44,23,16,1,0,1,0,11.263909195795575
28,29,11,0,0,1,0,16.94748139203618
40,20,8,0,0,1,1,24.469860393463016
34,19,4,1,0,0,0,28.14754348538265
17,15,10,1,0,1,0,26.619780638664324
39,12,10,0,0,0,1,26.98843722441756
12,22,12,0,1,1,0,22.28499331584119
17,22,5,0,0,0,0,30.35937900727773
31,12,13,0,0,0,1,23.59434458358833
9,23,9,1,0,1,0,26.53139696884668
27,23,12,0,0,0,1,18.614612760053397
36,19,7,1,0,0,1,24.676971044056703
31,10,8,1,0,1,0,28.360942211080364
44,16,10,0,1,0,1,21.914514647781385
28,17,6,0,1,0,1,30.205035347114837
14,34,6,0,0,0,0,23.878453979978502
41,19,13,0,1,0,1,17.52188464647904
36,16,8,0,1,1,0,22.82066124822483
30,30,14,1,0,0,0,12.712326826047589
36,22,12,0,1,1,1,19.06530953372066
30,12,15,0,1,0,1,20.43867913746576
29,10,11,1,0,0,1,26.862434077673573
35,17,13,0,0,0,0,20.626270174637423
36,32,14,0,1,0,1,13.5665879320713
18,25,9,0,1,1,0,22.318740227306986
22,21,9,0,0,1,0,24.09203007260428
34,30,12,0,0,1,0,15.068008445600809
29,22,3,1,0,1,0,29.152475699193623
29,20,12,0,0,1,1,21.13158266967888
32,14,5,0,0,0,0,29.77808961999133
34,13,8,0,1,1,1,28.428564915412085
34,16,9,1,0,0,1,26.38046619328628
28,28,13,1,0,1,1,18.5741473210814
36,29,8,1,1,0,1,21.152575799962342
22,30,8,1,1,1,0,21.067129696945702
28,19,11,0,0,1,0,23.22262316920136
38,27,7,1,0,0,1,21.510331098562027
46,22,16,0,1,0,1,11.72422564410436
23,27,4,0,0,0,1,27.56698342791054
32,16,14,0,0,0,0,17.50628462083795
34,29,12,0,0,0,0,14.78328142433325
27,11,14,0,0,0,1,25.93876121356148
30,24,11,0,0,0,1,21.46977642702604
26,23,10,0,0,0,0,20.969705592121134
34,26,9,0,0,0,0,17.613075756873275
31,22,9,1,1,0,0,21.315280446737333
36,19,7,0,1,1,1,25.95025156605861
33,30,5,0,0,0,1,24.06745794823608
18,30,8,1,0,1,0,21.866910400130724
31,17,14,1,1,0,0,17.7841558552751
16,27,10,1,0,0,0,20.5984163399064
32,11,11,0,1,0,1,26.992840557098397
30,28,13,1,1,1,1,16.424512720535738
37,22,9,0,0,0,1,22.12012459405639
38,28,13,0,1,1,1,17.513388568796994
38,18,5,0,1,0,1,24.66470279066545
25,24,8,0,1,1,1,24.612954771091776
19,4,12,1,0,1,0,29.69329587701966
34,18,5,0,0,0,1,29.189653747537317
12,32,13,0,0,0,0,17.992232008570962
30,14,9,0,0,0,0,24.357445205869933
14,16,9,1,0,0,0,27.16978068349938
32,12,6,0,1,0,0,28.5350182253528
35,10,11,0,0,0,1,23.781379977956995
25,24,9,0,0,1,0,24.374347235721974
31,21,10,0,0,0,0,21.314887186384748
29,19,14,0,1,0,1,20.13395312222444
21,35,8,0,0,0,0,18.5513787618166
28,21,7,0,0,0,0,25.674086024798974
34,24,11,0,0,0,0,18.567175539629066
23,13,12,1,1,0,1,26.40151885872197
22,18,10,1,0,0,0,24.325402643937096
30,27,10,1,1,0,1,23.110238236713265
21,20,17,0,1,0,1,18.45130027442051
51,27,8,0,0,0,1,16.64162054474165
23,22,2,0,0,0,0,31.34299271733551
32,14,14,0,0,1,0,20.73776300782741
29,17,8,0,0,1,0,25.746791821184097
35,23,9,0,0,1,0,20.189318409508576
11,29,10,0,0,0,1,21.757410429529045
36,17,16,0,1,1,1,16.985795955667584
23,22,1,0,0,0,0,33.15975178070311
22,21,10,0,1,1,0,22.841649763168625
